Teaser Text,Tag Value,Teaser Normalizado
#FútbolUruguayo  | River Plate renovó la concesión del Saroldi y bautizó a sus tribunas,No,# fútboluruguayo   | river plate renovó concesión saroldi bautizar tribuna
Profepa continúa investigando al tigre de Antara; inspeccionó el domicilio en el que fue resguardado,No,profepa continuar investigar tigre antara ; inspeccionar domicilio resguardar
"Liga MX: Nahuel Guzmán dio positivo de COVID-19 por quinta ocasión, pero él lo tomó con humor",Clickbait,"liga mx : nahuel guzmán positivo covid-19 quinto ocasión , tomar humor"
Dólares sospechosos: qué movimientos vigila el Banco Central para limitar infracciones en la compra de los USD 200 mensuales,Clickbait,dólares sospechoso : movimiento vigilar banco central limitar infracción compra usd 200 mensual
Facebook amenaza con bloquear la opción de compartir noticias en Australia: podría ser un precedente para otras partes del mundo,No,facebook amenazar bloquear opción compartir noticia australia : precedente parte mundo
"Microsoft está negociando la compra de Tik Tok, sospechada de tener vínculos con el régimen chino",No,"microsoft negociar compra tik tok , sospechado vínculo régimen chino"
El Gobierno hace lobby en Washington: contrató asesoramiento político por casi dos millones de dólares,No,gobierno lobby washington : contratar asesoramiento político millón dólares
"La esposa de un oficial preso le contestó a Alex Saab: “Usted se queja por dos días incomunicado, la Dirección de Inteligencia tuvo 45 días a mi esposo secuestrado”",No,"esposa oficial preso contestar alex saab : “ quejar incomunicado , dirección inteligencia 45 esposo secuestrado ”"
"La delantera de Tigres Femenil, Katty Martínez, dio positivo a coronavirus a días del arranque del torneo",No,"delantera tigres femenil , katty martínez , positivo coronavirus arranque torneo"
"Alberto Fernández respaldó al plan del nuevo Consejo Agroindustrial, con foco en el aumento de las exportaciones y la generación de empleo",No,"alberto fernández respaldar plan consejo agroindustrial , foco aumento exportación generación empleo"
Sin TACC: todo lo que necesitas saber sobre las comidas para celíacos,Clickbait,tacc : necesitar comida celíaco
"Pese al anuncio de Lionel Messi, Luis Suárez se aleja de Barcelona para jugar en Juventus: cuánto ganaría por temporada",Clickbait,"pese anuncio lionel messi , luis suárez alejar barcelona jugar juventus : ganar temporada"
Miguel Ángel Pichetto: “Hay expresiones de figuras secundarias que debilitan la autoridad del Presidente”,No,miguel ángel pichetto : “ expresión figura secundario debilitir autoridad presidente ”
Ronald Koeman eligió al que sería el nuevo capitán del Barcelona si Messi decide irse del club,Clickbait,ronald koeman elegir capitán barcelona messi decidir ir él club
"La foto de Nicole Poturalski en el restaurante de su esposo, donde conoció a Bran Pitt",Clickbait,"foto nicole poturalski restaurante esposo , conocer bran pitt"
Deuda: el Gobierno fijó como estrategia cerrar con los bonistas de Wall Street y luego negociar con el FMI y el Club de París,No,deuda : gobierno fijar estrategia cerrar bonista wall street negociar fmi club parís
El fallido del nuevo refuerzo del Leeds que anticipó el destino de Marcelo Bielsa,Clickbait,fallido refuerzo leeds anticipar destino marcelo bielsa
"Garantizan que no faltarán billetes en el fin de semana largo, pero hubo ciertas tensiones entre el BCRA y los bancos",No,"garantizan faltar billete semana , tensión bcra banco"
Salieron a la luz viejas internas del vestuario del PSG: “Unai Emery tenía problemas para manejar a las estrellas”,Clickbait,salir luz viejo interno vestuario psg : “ unai emery problema manejar estrella ”
La crisis que viene: Herrera anticipó más recortes al presupuesto y aumento en la deuda,No,crisis venir : herrera anticipar recorte presupuesto aumento deuda
Zinedine Zidane habló de las polémicas en los arbitrajes del Real Madrid: “Estoy cansado”,No,zinedine zidane hablar polémica arbitraje real madrid : “ cansado ”
Oficial: se concretó el trueque Arthur-Pjanic entre el Barcelona y la Juventus. Oficial: el FC Barcelona traspasó a Arthur a la Juventus,No,oficial : concretar trueque arthur-pjanic barcelona juventus . oficial : fc barcelona traspasar arthur juventus
CoDi y medios de pago sin contacto en tiempos de COVID,No,codi medio pago contacto tiempo covid
El equipo de la Premier más “sudamericano” de todos: adoptó el mate como infusión diaria,Clickbait,equipo premier “ sudamericano ” : adoptar mate infusión diario
RT @infobaecolombia: Coronavirus sin fronteras: pacientes que llegan de México saturan hospitales de California,No,rt @infobaecolombio : coronavirus frontera : paciente llegar méxico saturar hospital california
El coronavirus impacta más a los hombres. Los científicos empiezan a comprender por qué | Por Apoorva Mandavilli,Clickbait,coronavirus impactar hombre . científico empezar comprender | apoorva mandavilli
La revancha del real: Brasil revalúa y ayuda a distender el mercado de cambios local,No,revancha real : brasil revalúa ayuda distender mercado cambio local
"Quién es Margarita Cabello, la primera mujer en convertirse en Procuradora General en Colombia",No,"margarita cabello , mujer convertir él procuradora general colombia"
"El sur de Florida comenzó una reapertura gradual, pero mantiene clausuradas las playas",No,"sur florida comenzar reapertura gradual , mantener clausurada playa"
"Qué es el dragón azul, la extraña criatura venenosa que apareció en una playa de Texas",Clickbait,"dragón azul , extraño criatura venenós aparecer playa texas"
Estremecedor gesto en un partido de la Bundesliga: el pedido de justicia por la muerte de George Floyd en Estados Unidos,Clickbait,estremecedor gesto partido bundesliga : pedido justicia muerte george floyd unidos
"Ansiedad, insomnio y menos ingresos: el impacto de la pandemia sobre los profesionales de la salud",No,"ansiedad , insomnio ingreso : impacto pandemia profesional salud"
La Argentina ingresó en un default invisible para el mercado,No,argentina ingresar default invisible mercado
Cine de autor para ver en casa: ocho películas que no te podés perder,Clickbait,cine autor casa : película podés perder
México produce el 30% de aguacate de todo el mundo: Subsecretaría de Comercio Exterior,No,méxico producir 30% aguacate mundo : subsecretaría comercio exterior
"RT @InfobaeTecno: Desarrollaron en España una cápsula del futuro tren ""Hyperloop""",No,"rt @infobaetecno : desarrollar españa cápsula futuro tren "" hyperloop """
Advierten una falla de seguridad en Google Home y Chromecast: de qué se trata y cómo solucionarlo,Clickbait,advertir falla seguridad google home chromecast : solucionar él
Detienen a un hacker de 17 años por el ciberataque masivo a Twitter,No,detener hacker 17 año ciberataque masivo twitter
Colágeno hidrolizado: ¿Conviene tomar el suplemento?,Clickbait,colágeno hidrolizado : ¿ convenir tomar suplemento ?
José López: se unificaron dos penas en su contra y deberá afrontar 7 años y medio de cárcel,No,josé lópez : unificar pena deber afrontar 7 año cárcel
Coronavirus en cárceles federales: 4 muertes y 141 casos positivos,No,coronavirus cárcel federal : 4 muerte 141 caso positivo
"Un modisto, un abogado y un asesino convicto, los embajadores de la mafia calabresa en la Argentina",Clickbait,"modisto , abogado asesino convicto , embajador mafia calabrés argentina"
El verdadero costo de la declaración de independencia de Lionel Messi,Clickbait,costo declaración independencia lionel messi
"Un nuevo estudio advierte que los celulares podrían ser ""el caballo de Troya"" del coronavirus",No,"estudio advertir celular "" caballo troya "" coronavirus"
"Rocío Oliva se metió en la pelea entre Diego Maradona y sus hijas: ""Estoy de acuerdo con ellas""",No,"rocío oliva meter pelea diego maradona hija : "" """
"La Ciudad avanza para habilitar espacios comunes de edificios: definen un protocolo en el que habrá parrillas, pero no SUM",No,"ciudad avanzar habilitar espacio común edificio : definir protocolo parrilla , sum"
Coronavirus: el enfermero del Fernández que dieron por muerto se recuperó y ya volvió a trabajar,Clickbait,coronavirus : enfermero fernández muerto recuperar volver trabajar
Fueron a buscarlo a su casa y en un forcejeo mataron a su hijo de 12 años,No,buscar él casa forcejeo matar hijo 12 año
Franquicias: por la crisis cerró el 14% de los locales,No,franquicias : crisis cerrar 14% local
"Doble rol. El juego de Sergio Massa, tercer partener de la alianza gobernante",Clickbait,"doble rol . juego sergio massa , tercer partener alianza gobernante"
Coronavirus. La Argentina superó la barrera de las 10.000 muertes. La Argentina superó las 10.000 muertes por coronavirus,No,coronavirus . argentina superar barrera 10000 muerte . argentina superar 10000 muerte coronavirus
"Detuvieron a la hermana de Esteban Alvarado, uno de los principales líderes narco de Rosario",No,"detener hermana esteban alvarado , principal líder narco rosario"
"Coronavirus en Argentina: con el foco puesto en los cajeros, claves y consejos para evitar el robo de datos de las tarjetas",Clickbait,"coronavirus argentina : foco puesto cajero , clave consejo evitar robo dato tarjeta"
Incendios y ataques mapuches en Chile: una huelga de camioneros exige protección en el sur del país,No,incendio ataque mapuch chile : huelga camionero exigir protección sur país
Pixelar caras y borrar metadatos en fotos: la tecnología usada en las protestas de EE.UU.,No,pixelar cara borrar metadato foto : tecnología usado protesta ee.uu.
Asalto en el shopping Soleil: cuál es el vínculo con el crimen del turista inglés en Puerto Madero,Clickbait,asalto shopping soleil : vínculo crimen turista inglés puerto madero
"Sapiens, cautivos de nuestro ADN",No,"sapiens , cautivo adn"
Android 11: Google lanza la versión beta y estas son todas sus nuevas funciones,Clickbait,android 11 : google lanzar versión beta función
Galaxy Note 10: lanzan un celular Extra Large y con recarga ultraveloz,No,galaxy note 10 : lanzar celular extra large recarga ultraveloz
Advierten que los niños y adolescentes consumirán hasta un 50% más de pantallas,No,advertir niño adolescente consumir 50% pantalla
"Netflix hará una serie basada en el videojuego Cuphead. Cuphead, el videojuego éxito de Microsoft, tendrá su versión adaptada para Netflix",No,"netflix hacer serie basado videojuego cuphead . cuphead , videojuego éxito microsoft , versión adaptado netflix"
Coronavirus en Argentina: reportan 65 muertos y 3.645 casos en las últimas 24 horas,No,coronavirus argentina : reportar 65 muerto 3645 caso 24 hora
"""El Día del Amigo es un alerta, no se puede festejar"" en cuarentena, advierten desde la provincia de Buenos Aires",No,""" amigo alerta , festejar "" cuarentena , advertir provincia aires"
Desesperada búsqueda del ginecólogo cordobés: la familia ofrece $ 100 mil de recompensa,No,desesperado búsqueda ginecólogo cordobés : familia ofrecer $ 100 mil recompensa
Capítulos de YouTube: así es la nueva función para organizar la reproducción de videos,Clickbait,capítulo youtube : función organizar reproducción video
Rechazan dictar una medida cautelar contra revisión del traslado del juez German Castelli,No,rechazar dictar medida cautelar revisión traslado juez german castelli
Mirko dijo su primera mala palabra y Marley compartió un conmovedor video de su nacimiento,Clickbait,mirko malo palabra marley compartir conmovedor video nacimiento
Coronavirus en Argentina: una relevamiento muestra que la economía preocupa más que la salud de la familia,No,coronavirus argentina : relevamiento mostrar economía preocupar salud familia
Un atleta argentino que ya tiene su lugar en los Juegos de Tokio dio positivo de coronavirus,Clickbait,atleta argentino lugar juegos tokio positivo coronavirus
Cae uno de los sicarios más buscados de Rosario,Clickbait,cae sicario buscado rosario
IFE: Alfredo Cornejo denunció irregularidades en el pago y apuntó contra Fernanda Raverta. Fondos. Cornejo apuntó contra Raverta por las irregularidades en el pago del IFE,No,ife : alfredo cornejo denunciar irregularidad pago apuntar fernanda raverta . fondo . cornejo apuntar raverta irregularidad pago ife
"Éxodo confirmado: Bautista Ezcurra, exback de Jaguares, jugará en Atlanta Rugby de Estados Unidos. Sigue el éxodo: Bautista Ezcurra, back de Jaguares, jugará en Atlanta Rugby de Estados Unidos",No,"éxodo confirmado : bautista ezcurra , exback jaguares , jugar atlanta rugby unidos . éxodo : bautista ezcurra , back jaguares , jugar atlanta rugby unidos"
Entregó una pizza y lo asesinaron de un tiro en la cabeza. Asesinan de un tiro en la cabeza a un repartidor de pizzas en La Plata,No,entregar pizza asesinar tiro cabeza . asesinar tiro cabeza repartidor pizza plata
Descubren un error en la app de WhatsApp que permite recuperar mensajes eliminados,Clickbait,descubrir error app whatsapp permitir recuperar mensaje eliminado
"Los velatorios digitales, una solución para dar el último adiós en tiempos de pandemia",No,"velatorio digital , solución adiós tiempo pandemia"
Deuda: cinco claves para entender la negociación que llevó a cabo Martín Guzmán,Clickbait,deuda : clave entender negociación llevar cabo martín guzmán
"Leticia Brédice publicó fuertes mensajes contra su novio: lo acusó de ""ladrón"" y ""mala gente""",No,"leticia brédice publicar fuerte mensaje novio : acusar "" ladrón "" "" malo gente """
"Martín Guzmán, en la mira por su 'teoría de la deuda' y por su rol como ministro",No,"martín guzmán , mira ' teoría deuda ' rol ministro"
Problemas en fase 5: a un intendente le impidieron entrar al municipio vecino para llevar leche a su hijo recién nacido,No,problema fase 5 : intendente impedir entrar municipio vecino leche hijo recién nacido
Coronavirus con mi ex: Demi Moore y Bruce Willis pasan juntos la cuarentena,No,coronavirus ex : demi moore bruce willis pasar junto cuarentena
"La última fecha de la Premier League: Bielsa en la tribuna, el error fatal del arquero de Leicester, un consuelo al goleador y el ""Guante de Oro""",Clickbait,"fecha premier league : bielsa tribuna , error fatal arquero leicester , consuelo goleador "" guante oro """
Cómo celebrar un cumpleaños en cuarentena: opciones para mantener la distancia social,Clickbait,celebrar cumpleaños cuarentena : opción mantener distancia social
Las playlists de Spotify para cada signo del zodíaco: qué música escuchar según la astrología. Música astrológicamene personalizada: Spotify ideó playlists para cada signo del zodíaco,Clickbait,playlists spotify signo zodíaco : músicar escuchar astrología . música astrológicamenir personalizado : spotify idear playlists signo zodíaco
Coronavirus en la Argentina: los gastos extras por la pandemia rondaron los $450.000 millones,No,coronavirus argentina : gasto extra pandemia rondar $ 450000 millón
Cantando 2020: Dan Breitman la rompió con un tema de Charly García,No,cantando 2020 : breitman romper tema charly garcía
"Disney+, prohibido para adultos",Clickbait,"disney+ , prohibido adulto"
El día que Paul McCartney dijo basta y se despidió de The Beatles para siempre,Clickbait,paul mccartney basta despedir the beatles
"La policía acusada de asesinar a un matrimonio dijo que no participó del hecho, pero reconoció que mintió sobre su arma",No,"policía acusado asesinar matrimonio participar , reconocer mentir arma"
¿Qué significa soñar con serpientes?,Clickbait,¿ significar soñar serpiente ?
"Taxistas mantienen ""sitiada"" la ciudad de Neuquén luego de que balearan a un chofer en un intento de robo",No,"taxistas mantener "" sitiado "" ciudad neuquén balearar chofer intento robo"
Sebastián Estevanez sufrió quemaduras en las manos y el rostro por la explosión de un bidón de alcohol en gel. Accidente doméstico: Estevanez sufrió quemaduras en las manos y el rostro,No,sebastián estevanez sufrir quemadura mano rostro explosión bidón alcohol gel . accidente doméstico : estevanez sufrir quemadura mano rostro
Un golfista dio positivo de coronavirus en pleno torneo del PGA Tour,No,golfista positivo coronavirus pleno torneo pga tour
Por qué designaron a dos nuevos fiscales en el caso Facundo Astudillo Castro,Clickbait,designar fiscal caso facundo astudillo castro
"Coronavirus: la emotiva campaña de Andrea Bocelli, Eros Ramazzotti, Laura Pausini y otros cantantes italianos",Clickbait,"coronavirus : emotivo campaña andrea bocelli , eros ramazzotti , laura pausini cantante italiano"
Coronavirus en Argentina: el riesgo país sube más del 4% y caen los bonos,No,coronavirus argentina : riesgo país subir 4% caer bono
FIFA 20: Boca y River vuelven con un con parche gratuito por la Copa Libertadores,No,fifa 20 : boca river volver parche gratuito copa libertadores
"Un App Store chino: Xiaomi, Oppo, Vivo y Huawei se unen para competir con el Play Store de Google
https://t.co/ahSiw4hM77",No,"app store chino : xiaomi , oppo , vivo huawei unir competir play store google 
 https://t.co/ahsiw4hm77"
Estas 6 señales indican que los chicos tienen problemas visuales,Clickbait,6 señal indicar chico problema visual
"CES 2020: Charmin Rollbot te trae papel higiénico al baño cuando se acaba
https://t.co/7fNkMHQ11Q",No,"ces 2020 : charmin rollbot traer papel higiénico baño acabar 
 https://t.co/7fnkmhq11q"
"#Fútbol | Barcelona y Juventus oficializaron el trueque entre Arthur y Pjanic para ""maquillar cuentas"" antes del 30 de junio ⚽💰",No,"# fútbol | barcelona juventus oficializar trueque arthur pjanic "" maquillar cuenta "" 30 junio ⚽ 💰"
"Vicentin: Omar Perotti explicó su plan y dijo que Alberto Fernández ""no tiene una vocación expropiadora""",No,"vicentin : omar perotti plan alberto fernández "" vocación expropiadoro """
Más chicos terminan el colegio con sobrepeso y buscan con una guía generar una escuela saludable,No,chico terminar colegio sobrepeso buscar guía generar escuela saludable
"Sin charla: así es Uber Comfort, el nuevo servicio diferencial con autos nuevos y conductores silenciosos
https://t.co/Da7sJMpXJp",Clickbait,"char él : uber comfort , servicio diferencial auto conductor silencioso 
 https://t.co/da7sjmpxjp"
Las tres centrales obreras respaldaron la intervención oficial de Vicentin. Vicentin. Respaldo de las tres centrales sindicales a la intervención oficial,No,central obrero respaldar intervención oficial vicentin . vicentin . respaldo central sindical intervención oficial
Un falso meme sobre la muerte de Mr Bean está propagando una estafa,Clickbait,falso meme muerte mr bean propagar estafa
"Fernando Morientes: por qué Boca le ganó aquella Intercontinental a Real Madrid y su mirada del ""gen argentino"" #Fútbol | El recuerdo de Fernando Morientes: por qué Boca le ganó la Intercontinental a Real Madrid, la camiseta xeneize que todavía conserva y su mirada del ""gen argentino"" 🇪🇸⚽",Clickbait,"fernando morientes : boca ganar intercontinental real madrid mirada "" gen argentino "" # fútbol | recuerdo fernando morientes : boca ganar intercontinental real madrid , camiseta xeneize conservar mirada "" gen argentino "" 🇪 🇸 ⚽"
13 consejos para perder grasa sin sacrificar masa muscular,Clickbait,13 consejo perder grasa sacrificar masa muscular
Neibors: la red social pensada para vecinos con desarrollo argentino. Lanzan una red social pensada para vecinos con desarrollo argentino,No,neibors : red social pensado vecino desarrollo argentino . lanzar red social pensado vecino desarrollo argentino
Afirman que Estados Unidos compró todas las dosis disponibles para tres meses de una droga contra el coronavirus,No,afirmar unidos comprar dosis disponible mes droga coronavirus
Entrená al aire libre,No,entrená aire libre
Coronavirus: Estados Unidos envió dos millones de dosis de hidroxicloroquina a Brasil,No,coronavirus : unidos enviar millón dosis hidroxicloroquina brasil
Basterra armó su equipo y va definiendo su perfil de gestión,No,basterra armar equipo definir perfil gestión
Programas que apuntan a achicar la huella de carbono,No,programas apuntar achicar huella carbono
Aseguran que la genética está cambiando el manejo agronómico del maíz,No,asegurar genética cambiar manejo agronómico maíz
"China inaugura la asamblea política más importante del año, dominada por los efectos del coronavirus",No,"china inaugurar asamblea político importante año , dominado efecto coronavirus"
Por 70 casos de coronavirus cierran al menos 50 escuelas en Francia,No,70 caso coronavirus cerrar 50 escuela francia
"El COE Nacional aprobó el regreso de las competiciones de tenis, pero será sin la presencia de público",No,"coe nacional aprobar regreso competición tenis , presencia público"
"El caso de ""Frida Sofía"" en la escuela derrumbada por el terremoto en México revive la historia de ""Monchito"", el niño del sismo de 1985 que tampoco existió. Dos nombres, Frida Sofía y Monchito, mantuvieron a México en vilo durante los terremotos de 1985 y 2017 como posibles sobrevivientes entre los escombros. Hasta que se descubrió que ninguno de los dos niños existía. #DeNuestroArchivo #Sismo19S",No,"caso "" frida sofía "" escuela derrumbado terremoto méxico revivir historia "" monchito "" , niño sismo 1985 existir . nombre , frida sofía monchito , mantener méxico vilo terremoto 1985 2017 posible sobreviviente escombro . descubrir niño existir . # denuestroarchivo # sismo19s"
Messi abandona el Barcelona: ¿qué puede ganar el equipo con la salida del astro? Responden analistas de la BBC. ¿Qué puede ganar el FC Barcelona con la salida de Lionel Messi? Responden analistas de la BBC,Clickbait,messi abandonar barcelona : ¿ ganar equipo salida astro ? responder analista bbc . ¿ ganar fc barcelona salida lionel messi ? responder analista bbc
"Videojuegos: el infinito en tus mandos
La opinión de @GabiMartnez",No,"videojuego : infinito mando 
 opinión @gabimartnez"
"Mushuc Runa ganó 2-1 al Olmedo, con un gol de tiro libre de su arquero Iván Brun",No,"mushuc runa ganar 2-1 olmedo , gol tiro libre arquero iván brun"
"Las llamas en el oeste de EEUU dejan ya 23 muertos: ""Nunca hemos visto tantos incendios sin control"" RT @ElMundoInter: El fuego avanza sin control en EEUU. 
https://t.co/lG9iIiOMZi
Informa @pscarpe",No,"llama oeste eeuu dejar 23 muerto : "" ver tanto incendio control "" rt @elmundointer : fuego avanzar control eeuu . 
 https://t.co/lg9iiiomzi 
 informa @pscarpe"
"Antetokounmpo y LeBron en forma para reinicio de la NBA; Nurkic reaparece. El candidato a MVP de la NBA jugó un amistoso y así le fue, antes de la reanudación del torneo:",Clickbait,"antetokounmpo lebron forma reinicio nba ; nurkic reaparecer . candidato mvp nba jugar amistoso , reanudación torneo :"
"La polémica apuesta de México: una 'vuelta al cole' por televisión. Quedan por despejar muchas dudas como, por ejemplo,  ¿cómo podrán resolver los estudiantes sus dudas siguiendo un programa de televisión?, ¿cómo se comprobará que realmente están siguiendo los contenidos?

✍️ @PabloSOlmos 

https://t.co/jGOQO3VBm2",Clickbait,"polémica apuesta méxico : ' vuelta cole ' televisión . quedar despejar duda , ejemplo ,   ¿ resolver estudiante duda seguir programa televisión ? , ¿ comprobar realmente seguir contenido ? 

 ✍ ️ @pablosolmos 

 https://t.co/jgoqo3vbm2"
Podemos pide 20 años de cárcel para Jordi Pujol,No,pedir 20 año cárcel jordi pujol
Los eventos y personalidades a los que prestar atención en 2020,Clickbait,evento personalidad prestar atención 2020
La popularidad de Jair Bolsonaro bate un récord desde que es presidente de #Brasil | @JoanRoyoGual explica por qué: ,No,popularidad jair bolsonaro batir récord presidente # brasil | @joanroyogual explicar :
La vacuna del coronavirus desata la guerra de los 'hackers' | Por: @Lucasdelacal ,No,vacuna coronavirus desata guerra ' hackers ' | : @lucasdelacal
“Supercepo” al dólar: por qué los últimos 3 gobiernos en Argentina aplicaron trabas al acceso de dólares (y qué nos dice sobre el deterioro de su economía),Clickbait,“ supercepo ” dólar : 3 gobierno argentina aplicar traba acceso dólares ( deterioro economía )
Ronaldinho: embargan 57 propiedades y le retienen los pasaportes al exfutbolista por impago de multas de US$2 millones,No,ronaldinho : embargar 57 propiedad retener pasaporte exfutbolista impago multa us$ 2 millón
Madrid aprueba hoy más restricciones en los aforos de la hostelería y bares de copas para frenar los rebrotes de Covid-19,No,madrid aprobar restricción aforo hostelería bar copa frenar rebrot covid-19
"Los pueblos más bonitos de España imponen un manual de comportamiento a los turistas ante el temor a contagios. Los @LosPueblosmbe, de Cudillero a Guadalupe, Ayllón o Liérganes, piden a los turistas que sepan comportarse.",No,"pueblo bonito españa imponer manual comportamiento turista temor contagio . @lospueblosmbe , cudillero guadalupe , ayllón liérganes , pedir turista saber comportar él ."
"Las comunidades lamentan el pacto ""de mínimos"": ""¿Para qué hace falta un Ministerio de Educación si no coordina?"".",No,"comunidad lamentar pacto "" mínimo "" : "" ¿ falta ministerio educación coordinar ? "" ."
Premio de la @FundacionBBVA a los inventores de la comunicación a prueba de espías. Por @RaquelVonDiaz,No,premio @fundacionbbva inventor comunicación prueba espía . @raquelvondiaz
"Terremoto en México: un temblor de magnitud 7,5 causa al menos siete muertos en plena pandemia. El gobernador de Oaxaca confirma dos muertos",No,terremoto méxico : temblor magnitud 7.5 causar muerto pleno pandemia . gobernador oaxaca confirmar muerto
"Copa América Brasil 2019: Colombia dobla con contundencia a Argentina, mientras Perú empata con Venezuela en la Copa América. Copa América Brasil 2019: Perú empata sin goles con Venezuela, con el portero Faríñez y el VAR como claves para el empate",No,"copa américa brasil 2019 : colombia doblar contundencia argentina , perú empatar venezuela copa américa . copa américa brasil 2019 : perú empatar gol venezuela , portero faríñez var clave empate"
"Coronavirus: la bandera de España ilumina el edificio más alto del mundo, el Burj Khalifa de Dubai. El acto rinde tributo al personal sanitario español. Las proyecciones en la torre cuestan entre entre 70.000 y 100.000 dólares. Ya lució la rojigualda el Día de la Hispanidad. #coronavirus",No,"coronavirus : bandera españa iluminar edificio alto mundo , burj khalifa dubai . acto rendir tributar personal sanitario español . proyección torre costar 70000 100000 dólares . lucir rojigualda hispanidad . # coronavirus"
"Comerciantes del Rastro acusan al Ayuntamiento de ""falta de colaboración"" para reabrir el mercadillo
https://t.co/icmQ9ZTL2e",No,"comerciante rastro acusar ayuntamiento "" falta colaboración "" reabrir mercadillo 
 https://t.co/icmq9ztl2e"
"Rutte, el más duro de los ‘halcones’ Holanda ha estado al frente de varios bloqueos en el seno de la UE, casi siempre por cuestiones económicas",No,"rutte , duro ‘ halcón ’ holanda frente bloqueo seno ue , cuestión económico"
"Por qué las “mujeres jodidas” de Charlize Theron la convirtieron en la última gran estrella de Hollywood
https://t.co/60mJEXxcIX",Clickbait,"“ mujer jodida ” charlize theron convertir estrella hollywood 
 https://t.co/60mjexxcix"
"El Gobierno y la Casa Real abordan el futuro de Juan Carlos I tras la crisis. Pedro Sánchez ha resucitado este jueves la propuesta de reformar la Constitución para eliminar la inviolabilidad del jefe del Estado

https://t.co/cUB2al1aYm",No,"gobierno casa real abordar futuro juan carlos i crisis . pedro sánchez resucitar jueves propuesta reformar constitución eliminar inviolabilidad jefe 

 https://t.co/cub2al1aym"
"Madrid sufrirá un trasvase de entre el 10 y el 13% del transporte público al coche tras la crisis de la Covid
https://t.co/AEoxGXgwGc",No,"madrid sufrir trasvase 10 13% transporte público coche crisis covid 
 https://t.co/aeoxgxgwgc"
"Raúl García es la gasolina del Athletic. Dos goles de Raúl García al Levante mantienen al Athletic vivo en la pelea por Europa
https://t.co/w59tEBnry1",No,"raúl garcía gasolina athletic . gol raúl garcía levante mantener athletic vivo pelea europa 
 https://t.co/w59tebnry1"
"Anderson David Salazar, de 16 años, permanece desaparecido desde el pasado 5 de septiembre de 2020. #ATENCIÓN | Anderson David Salazar, de 16 años, está desaparecido desde el 5 de septiembre del 2020 »",No,"anderson david salazar , 16 año , permanecer desaparecido 5 septiembre 2020 . # atención | anderson david salazar , 16 año , desaparecido 5 septiembre 2020 »"
"Pirlo sustituye a Sarri, despedido por la Juventus 12 horas después de caer en Champions. El equipo italiano, eliminado por el Lyon, apuesta por el excentrocampista, que se estrena en los banquillos. Informa @Lafolhaseca",No,"pir él sustituir sarri , despedido juventus 12 hora caer champions . equipo italiano , eliminado lyon , apostar excentrocampista , estrenar banquillo . informar @lafolhaseca"
