ID,Pregunta,Transcripcion,Estres
ID04,Pregunta7,"Durante semanas de evaluación me descuido bastante: duermo tarde, olvido comer o tomar agua, y a veces no asisto a clases por terminar tareas.",si
ID04,Pregunta9,"Me siento muy decaída y enojada, tengo arranques de ira, dolores de cabeza y estómago, y tiendo a morderme las uñas.",si
ID04,Pregunta11,"Suelo descuidarme: no tomo agua, no como a horas, tengo náuseas y desorden en el sueño, lo cual desequilibra mucho mi vida.",si
ID05,Pregunta6,La biblioteca.,no
ID06,Pregunta1,"Considero que mis emociones en mi experiencia académica han sido positivas. He vivido momentos de felicidad, como cuando me enteré que fui aceptado en la escuela.",no
ID06,Pregunta3,"Algo que me hizo sentir bien esta semana fue avanzar en proyectos personales y del trabajo, lo que alivió un poco la carga que tengo.",no
ID06,Pregunta4,"He estado pensando mucho en lo que haré después de terminar la carrera, especialmente sobre cómo me irá en el ámbito laboral.",si
ID06,Pregunta5,"Lo más difícil este mes ha sido la intensa carga de trabajo debido al trabajo terminal, lo cual ha generado frustración por no tener el avance esperado.",si
ID06,Pregunta7,"Durante las semanas de evaluación me siento agobiado debido a la carga de seis materias y el trabajo terminal, lo que incrementa el cansancio y afecta mi ánimo.",si
ID06,Pregunta8,"Cuando estoy bajo presión, asigno prioridades a mis tareas para concentrarme en las más importantes y reducir el estrés.",si
ID06,Pregunta9,"Físicamente, me salen imperfecciones en la cara cuando estoy bajo mucha presión. Emocionalmente, pierdo creatividad y me limito a cumplir sin innovar.",si
ID06,Pregunta10,"Siento que necesito una pausa cuando el estrés me impide hacer bien mis tareas. Si no descanso, no rindo adecuadamente.",si
ID06,Pregunta11,"Tener muchas cosas por hacer y poco tiempo me genera estrés y afecta mi vida personal, ya que dejo de lado actividades como jugar videojuegos con mis amigos.",si
ID06,Pregunta12,"Mi materia favorita ha sido Sistemas Distribuidos, porque aprendí sobre la nube con un profesor que supo enseñar algo actual y útil.",no
ID07,Pregunta1,"Mis emociones han sido muy cambiantes a lo largo de la carrera. Empecé con alegría, pero me atrasé por la pandemia, lo que me desanimó. Aunque ya estoy regular, el trayecto largo a la escuela me resulta muy tedioso.",si
ID07,Pregunta2,Me he sentido tranquilo porque este semestre ha sido relajado y los profesores no me generan mucho estrés.,no
ID07,Pregunta4,"Pensar en la conclusión de la carrera y todo lo que implica (TT, servicio, etc.) me genera estrés, especialmente por el temor de alargar aún más mi trayectoria académica.",si
ID07,Pregunta5,Recibir buenas calificaciones en el primer parcial me hizo sentir satisfecho y motivado para seguir mejorando mi promedio.,no
ID07,Pregunta7,"Las semanas de exámenes y entregas son muy estresantes. A veces tengo hasta tres evaluaciones en un día, lo que me abruma mucho.",si
ID07,Pregunta8,"No manejo bien el estrés. Bajo presión me pongo muy nervioso, desarrollo malos hábitos como morder lápices, y aunque intento organizarme, me cuesta mucho.",si
ID07,Pregunta9,"Cuando estoy estresado me irrito fácilmente, tengo dolor de cabeza, descuido mi alimentación y sueño, y presento tics como morderme las uñas o los labios.",si
ID07,Pregunta10,"Cuando siento que ya no entiendo nada, me doy cuenta que necesito descansar. Trato de equilibrar estudio y pausas, pero a veces me bloqueo por el estrés.",si
ID07,Pregunta11,"Me afecta mucho tener poco tiempo para mí. Dejo de hacer cosas básicas como comer por cumplir con tareas, lo cual afecta mi autoestima.",si
ID08,Pregunta2,"En pocas palabras feliz contenta y motivada incluso emocionada por lo que se viene adelante y lo que he estado viviendo estos días toda vez que aunque en las últimas semanas y meses me ha sentido muy decaída respecto a que siente que no estaba avanzando en la carrera, ya me puse las pilas y ya estoy encargando encarrilando, me nuevamente y eso me hace sentir muy bien.",no
ID08,Pregunta3,"Una experiencia que me hizo sentir muy bien sucedió el sábado pasado, cuando acompañé a mi novio a una feria de emprendedores. Estuvimos ahí desde las 9 hasta las 16 horas. Luego paseamos por el centro, Paseo de la Reforma y Polanco. Fue una experiencia muy grata. Convivimos con su familia y me mostró lugares importantes para él. Me hizo muy feliz compartir eso. Por otro lado, una experiencia que me hizo sentir muy triste ocurrió mientras escuchaba una canción de mi grupo favorito, Los Rumberos. El video y la letra trataban de una persona que ya no está. Eso, junto con problemas recientes en casa con mi hermana menor, me hizo pensar en el futuro, cuando ya no pueda abrazar a mis seres queridos. Lloré y fui a abrazar a mi mamá. Aproveché ese momento para expresarle mi cariño.",no
ID08,Pregunta6,"Sin miedo a equivocarme definitivamente son los pastos que se encuentran pasando la cancha de fútbol en dirección hacia los burritos y todavía unos pasos más, sabes que ahí no hay mucha gente ahí demasiado es todo un campo abierto. Parece un bosque las áreas verdes, pues son inmensas y muchos juntos muchos Sport Zone en lo que realmente no va haber gente montando ante por el ruido porque están pasando entonces ahí puedes hacer picnic, puedes acostar hotel cantar esta tarde caldo y definitivamente es mi lugar favorito y si bien nunca lo usado para descansar y ha sido más para para estudiar y lo usado más para descansar recrearme estoy segura, que también es un buen lugar para encontrar concentración por la misma razón de que no hay.  Si siente a eso está en esos alrededor.",no
ID08,Pregunta8,"Manejo el estrés con orden. Pongo sonidos que me ayudan a concentrarme y trato de levantarme cada media hora. Dejo vasos con agua para obligarme a moverme. Intento no distraerme, aunque a veces mi mente se cansa y me distraigo con algo más. Trato de volver siempre a la tarea para terminarla.",si
ID08,Pregunta9,"Para empezar me da un tic nervioso en el ojo y eso es cuando se me acumula ya demasiada presión demasiado estrés por semanas algo más instantáneo y que me daba pena y que no lo había notado hasta hasta entonces es que me salió una tuve unos cambios en la piel del brazo, que no los tenía fiesta un día si me sentí demasiado expresada por otro lado en cuanto a señales emocionales y me doy cuenta, quién me siento. Bueno, yo lo llamo cómo sentirme en un momento depresivo sé que no es que me siento muy muy como fatigada frustrada mentalmente que en el que siento que no vale la pena y nada y además estoy lo que me pasa mucho, es que me empieza a doler doler el coxis, está entonces ya me he dado cuenta que aunque esté la misma cantidad de tiempo a lo mejor haciendo tarea con mis.  Por supuesto solamente cuando estoy estresada, me siento presionada es que me empieza a doler y entonces me levanto y me vuelvo a sentar, me duele a Israel que ya no quiero sentar a seguir haciendo lo que me tienen que ser nada sin mencionar que me pasa una de dos o me da mucha hambre o no me da nada de hambre.",si
ID08,Pregunta10,"Cada 15 o 30 minutos, mi reloj inteligente me avisa que he estado mucho tiempo sin moverme. Entonces me levanto, tomo agua, me acuesto un momento o simplemente cambio de actividad para evitar estar tanto tiempo sentada haciendo tareas.",no
ID08,Pregunta11,"Al menos este semestre no siento que haya tenido muchas cosas por hacer y menos tiempo para mí entonces, no puede afectarme porque todos los dias me doy tiempo para mí.",no
ID08,Pregunta12,"No puedo definir a una materia como la número uno de mis favoritas, pero si han sido análisis y diseño de sistemas teoría de la acción Finanzas Empresariales y ecuaciones diferenciales, aunque estas dos en menor medida.",no
ID09,Pregunta2,"En los últimos días me he sentido más relajado de lo habitual. Supongo que ha influido tanto el periodo de vacaciones como algunos temas personales, así que lo he tomado con calma.",no
ID09,Pregunta3,"Recientemente algo que me hizo sentir bien fue un regalo que me dio mi novia; fue un detalle bonito y me hizo sentir bien. Sentirme mal… tal vez me he estresado un poco con el protocolo, pero no ha sido nada grave.",no
ID09,Pregunta5,"Este mes, realmente no ha habido algo especialmente difícil o satisfactorio. Me siento bastante neutral. Ha habido cosas buenas y malas, pero nada que destaque como satisfactorio.",no
ID09,Pregunta6,"En cuanto a lugares agradables para estudiar o descansar, diría que para descansar lo más común es buscar un salón vacío. Pero agradables como tal, ninguno en particular.",no
ID09,Pregunta7,"depende mucho del semestre y de la cantidad de materias que lleven ese momento obviamente mientras más materias y sean más demandantes que requieran ya sea más proyectos o más ejercicios por entregar, pues obviamente queda menos tiempo para cada una de las asignaturas y por ende uno se siente agobiado saturado y sobrepasado.",si
ID09,Pregunta8,"Cuando me siento bajo mucha presión, trato de manejarlo haciendo una pausa. Si la actividad lo permite, me detengo unos minutos para hacer algo completamente distinto, así despejo la mente y luego continúo con lo que estaba haciendo.",no
ID09,Pregunta9,"Cuando estoy bajo mucha presión, lo más común es que sienta molestias en el estómago. Si el estrés es muy intenso, puede provocarme colitis o inflamación. En casos muy extremos he notado caída de cabello, un poco de urticaria, insomnio y temblores.",si
ID09,Pregunta11,"Tener muchas cosas por hacer y poco tiempo para mí me afecta directamente. Me baja el estado de ánimo y, por lo tanto, también el rendimiento. Me siento harto y sin ganas de hacer nada más.",si
ID09,Pregunta12,"Tengo varias materias favoritas. Principalmente, Procesamiento de Lenguaje Natural porque tuve un muy buen profesor, también Cálculo II y Visualización de Datos Avanzada. En general, me gustaron no solo por el contenido, sino por cómo los profesores las impartieron.",no
ID10,Pregunta2,"Últimamente me he sentido estresada por temas escolares. Estamos cerca de vacaciones y muchos profesores dejan demasiadas actividades. Todo ese estrés termina afectándome, y en lugar de ayudar, las vacaciones se vuelven una carga porque nos saturan antes de salir. Eso provoca que me sienta desanimada, triste y decaída.",si
ID10,Pregunta4,"muchas veces me ha preguntado si quiero seguir estudiando esta carrera, si quisiera cambiarla si quisiera irme a otra escuela y entre otras cosas y en lo personal he tenido problemas fuertes y mi mamá contrajo cáncer y esta en tratamientos y tengo una hermana pequeña. Entonces se me ha dificultado  el hecho de que mis emociones esten estables.",si
ID10,Pregunta5,"he tenido complicaciones en casa. He tenido problemas de dinero por los tratamientos, el trabajo se ha estado haciendo muchas cosas y se me subio la carga de la escuela",si
ID10,Pregunta6,"Para descansar, me gustan las palapas porque a partir de cierta hora ya no da el sol y son tranquilas. Para estudiar, prefiero la biblioteca o salones vacíos, ya que el internet no ayuda mucho en otros lugares.",no
ID10,Pregunta7,"Las semanas con muchas entregas o exámenes son muy difíciles. La carga de trabajo y el estrés son fuertes. Sufro de depresión y ansiedad, y cuando las cosas no salen como quiero, esas emociones negativas se intensifican. Aunque con terapia y tiempo he aprendido a manejarlo, sigue siendo complicado.",si
ID10,Pregunta8,"Cuando estoy bajo mucha presión, intento calmarme para no llegar a un ataque de ansiedad, que en mi caso ya están controlados médicamente. Respiro, busco soluciones y trato de ver el lado positivo. Intento no encerrarme en pensamientos negativos.",si
ID10,Pregunta9,"Tengo tics nerviosos en el cuello y el ojo cuando estoy estresada. También me rasco las cejas al punto de arrancarme el vello sin darme cuenta. En lo emocional, me lleno de pensamientos negativos y me sobrecargo mentalmente, hasta que me doy cuenta de que necesito parar.",si
ID10,Pregunta11,"Tener muchas cosas por hacer y poco tiempo me afecta mucho. Me da sueño, me siento físicamente cansada, no como ni duermo bien, y todo eso me afecta también emocionalmente. Me siento triste, deprimida, y cualquier cosa me afecta más de lo normal, especialmente en épocas de exámenes.",si
ID10,Pregunta12,"Mi materia favorita ha sido Análisis y Diseño de Sistemas. La tomé con un profesor que explicaba muy bien y no saturaba con trabajo. Sus clases eran dinámicas, usaba un lenguaje claro y buscaba maneras para que entendiéramos. Los maestros que hacen dinámicas sus clases siempre logran captar mejor la atención.",no
ID11,Pregunta1,"Realmente considero que mis emociones han sido estables. A veces me siento un poco presionado con algunas actividades, especialmente con los proyectos, que me hacen pensar que la carrera es difícil. Sin embargo, no he sentido una presión excesiva. Ha sido una experiencia relativamente relajada; no he tenido mayores problemas académicos y me siento satisfecho con mi desempeño hasta ahora.",no
ID11,Pregunta3,"Algo que me ha hecho sentir bien recientemente ha sido relacionarme más con mis amigos. He estado participando en actividades sociales, como el club de baile o juegos de mesa. Algo que me ha hecho sentir mal es sentirme un poco distante con algunas personas o tener que estar constantemente haciendo actividades que no me parecen del todo apropiadas para ciertas materias.",no
ID11,Pregunta6,"El lugar que me parece más agradable para estudiar es la biblioteca. Generalmente está en silencio, se pueden consultar libros y usar datos móviles. Es un buen espacio, ya que algunos salones no tienen buena conexión a internet.",no
ID11,Pregunta7,"Durante las semanas de entregas o exámenes siento mucha presión. Aunque intento hacer todo bien, me cuesta tranquilizarme. Me esfuerzo por aprender lo que no me quedó claro, pero los plazos son muy cortos. A veces hay paros o interrupciones que reducen los días de preparación y eso genera mucho estrés. Estudiar en el Politécnico bajo estas condiciones puede ser muy pesado.",si
ID11,Pregunta9,"Cuando estoy bajo mucha presión, me siento incómodo físicamente, como si estuviera desarreglado. Aunque esté bien vestido, la presión del tiempo me hace sentir limitado. No suelo tener migrañas, pero duermo muy poco. Emocionalmente, me irrito con facilidad y tengo menos tolerancia hacia los demás. A veces, siento que pierdo el respeto por lo que me dicen.",si
ID11,Pregunta11,"Tener muchas cosas por hacer y poco tiempo para mí me frustra. Me gustaría tener tiempo para leer o salir, pero las obligaciones académicas no me lo permiten. A veces intento terminar todo rápido para poder hacer lo que realmente me gusta, pero no siempre puedo. Eso me hace desvalorizar lo que estoy haciendo.moderado",si
ID11,Pregunta12,"No tengo una materia favorita definida, pero me han gustado Analítica Avanzada, Minería de Datos y Bases de Datos. En analítica vemos temas como estadística, regresiones, clasificación y redes neuronales, que considero útiles para el área laboral. Me gusta entenderlos a nivel técnico. También me han gustado las partes matemáticas de la carrera, aunque depende mucho de cómo las impartan.",no
ID12,Pregunta2,"Últimamente me he sentido muy tranquilo en la escuela. He estado conviviendo con mis compañeros, he avanzado bien en mis materias y todo ha sido bastante agradable. No tengo quejas, ha sido divertido.",no
ID12,Pregunta3,"Lo que me hizo sentir bien recientemente fue salir a jugar Wii con unos amigos. Tenía mucho tiempo sin hacerlo de forma presencial y me alegró bastante. Esta semana, algo que me frustró fue una tarea en la que invertí varias horas, pero no quedó como yo quería. Me frustró, aunque no me hizo sentir mal como tal.",no
ID12,Pregunta5,"Lo más satisfactorio de este mes fue jugar Wii con mis amigos en la casa de uno de ellos. Lo más difícil ha sido intentar crecer profesionalmente en mi trabajo, eso sí lo he sentido más complicado.",no
ID12,Pregunta6,"Me tranquiliza mucho estar en salones vacíos. Cuando tengo tiempo libre, suelo buscar un salón sin gente para hacer tareas, descansar o jugar. Me gusta tener mi espacio para convivir de manera agradable.",no
ID12,Pregunta11,"No he sentido que tenga poco tiempo para mí, ya que organizo bien mis tiempos entre escuela y trabajo. Siempre trato de darme un espacio para hacer algo que me guste, como salir con amigos o jugar. Solo me afecta cuando quiero hacer algo más, como meterme a un curso, y siento que ya no tengo tiempo para eso.",no
ID12,Pregunta12,"Mis materias favoritas han sido aquellas donde aprendo cosas nuevas y las entiendo fácilmente, como Bases de Datos (básicas y avanzadas) y Álgebra Lineal. También influye que los profesores explican muy bien. Son materias que no se sienten tan pesadas, por lo que las disfruto mucho.",no
ID13,Pregunta1,"Trabajo y eso me quita tiempo para la escuela. Me siento un poco estresada porque tengo que hacer todo rápido, y no me gusta dejar las cosas para el último momento. Eso me ha hecho sentir bastante estresada.",si
ID13,Pregunta5,Lo más satisfactorio ha sido haber encontrado trabajo.,no
ID13,Pregunta6,"Diría que la biblioteca es un buen lugar, o también Las Palapas cuando no hay demasiada gente.",no
ID13,Pregunta7,Las semanas de exámenes y proyectos son muy estresantes y agobiantes. Me cansan mentalmente. Todo lo relacionado con la carrera en esos momentos se vuelve muy fatigante.,si
ID13,Pregunta9,"Cuando estoy con mucha presión, me enojo con facilidad. Me irrito más de lo normal y no quiero que nadie me moleste en ese momento.",si
ID13,Pregunta10,"Sé que necesito descansar cuando mi cerebro ya no funciona, cuando siento que ya no pienso con claridad. En ese momento, me doy cuenta de que debo relajarme y tomar un descanso.",si
ID13,Pregunta11,"Como mencioné, es muy agobiante. Es como ese dicho: No todos tenemos las mismas 24 horas. Hay muchas cosas por hacer y poco tiempo, así que aunque lo intentes, no todo va a salir bien. Aprendes a darle importancia solo a ciertas cosas.",si
ID13,Pregunta12,"Mi materia favorita ha sido Probabilidad y Estadística. Si tengo que elegir una, me quedo con esa.",no
ID14,Pregunta3,"Algo que me afectó el mes pasado fue la pérdida de mi gatito. Era muy importante para mí porque lo cuidaba mucho. La forma en que recibí la noticia fue lo que más me impactó, ya que no tuve tiempo de procesarlo. Esto me afectó emocionalmente, me quitó el sueño y alteró mi estado de ánimo.",si
ID14,Pregunta5,"Lo más satisfactorio últimamente fue pasar una tarde con mis amigos comiendo ramen. Me sentí apoyada y escuchada. Fue especial porque generalmente me cuesta expresarme con ellos, y en esa ocasión me sentí valorada y comprendida.",no
ID14,Pregunta6,"El lugar que más me gusta para estudiar o descansar es la biblioteca. Me concentro bien allí, sobre todo si escucho música. También me gusta usar salones vacíos para estudiar en grupo con mis amigos.",no
ID14,Pregunta7,"Depende de la materia y la carga de prácticas o proyectos. Generalmente es muy estresante porque apenas terminamos uno y ya hay que empezar otro. Modifico mi rutina diaria para enfocarme en esos trabajos, como comer rápido o dormir solo 4 horas para seguir avanzando.",si
ID14,Pregunta8,"Cuando estoy bajo mucha presión, suelo aislarme y quedarme en casa estudiando o pensando. A veces me siento deprimida o con ganas de llorar, pero trato de respirar y tranquilizarme para continuar. Me esfuerzo por no dejarme llevar por pensamientos negativos.",si
ID14,Pregunta9,"Cuando estoy muy estresada, tiemblo, sudo de las manos, respiro rápido y siento tensión en los ojos. A nivel emocional, me siento muy nerviosa y ansiosa. Una vez me dio colitis nerviosa con vómitos y falta de apetito. Generalmente, el estrés afecta mucho mi cuerpo.",si
ID14,Pregunta10,"Siento que necesito una pausa cuando empiezo a pensar cosas incoherentes o tener pensamientos pesimistas. Por ejemplo, si en una presentación me va mal, empiezo a pensar que voy a reprobar. También me pasa con mi familia, cuando siento actitudes raras hacia mí. En esos casos, me detengo, respiro y trato de calmarme.",si
ID14,Pregunta11,"Sí me genera mucho estrés tener muchas cosas que hacer y poco tiempo. Aunque trato de organizarme, no siempre se puede por cómo están diseñadas algunas materias. A veces no como ni duermo bien, y eso me afecta. Afortunadamente, mi familia y amigos me ayudan a buscar soluciones. Últimamente he tratado de cambiar esa mentalidad y organizar mejor mis tareas.",si
ID14,Pregunta12,"Mi materia favorita hasta ahora ha sido Minería de Datos y Analítica Avanzada. Me gusta porque me ayuda a comprender y reforzar conceptos de mi carrera relacionados con datos, que es un tema que me interesa mucho.",no
ID15,Pregunta1,"Ha sido una experiencia de altibajos. He tenido momentos muy felices y otros muy tristes o estresantes a lo largo de mis estudios. No podría describirla con una sola palabra porque cada etapa ha sido muy diferente, aunque la mayoría de mis experiencias académicas tienden a ser negativas.",si
ID15,Pregunta6,"Me gustan mucho Las Palapas, especialmente las que están en la parte trasera de la escuela entrando por Poli. A pesar del sol, esa zona es más tranquila y calmada que otras áreas muy concurridas.",no
ID15,Pregunta7,"Usualmente no duermo ni como bien en esas semanas. Son días muy estresantes y preocupantes. Incluso he tenido problemas médicos, como un colapso nervioso. Intento compensarlo con actividades que me relajen o tomar descansos cuando puedo.",si
ID15,Pregunta8,"Cuando estoy bajo presión, intento resolver las cosas, pero usualmente lo manejo mal. Tiendo a aislarme y me vuelvo más irritable con las personas que me rodean.",si
ID15,Pregunta9,"Las señales físicas incluyen insomnio, cansancio extremo, colitis, irritación estomacal, náuseas, migrañas, pérdida de cabello, cambios de peso y problemas menstruales. Emocionalmente, me siento más irritable, sobreestimulada y muy sensible a los cambios, lo que me afecta profundamente.",si
ID15,Pregunta11,"Generalmente, las tareas que tengo por hacer son cosas que me gustan. Pero cuando me impiden tener contacto con mis relaciones (familia, amigos, pareja), me siento muy triste y decaída. Como soy sociable, aislarme me afecta mucho, incluso físicamente, descuidando aspectos importantes de mi salud.",si
ID15,Pregunta12,"Estudio Diseño Industrial en la FES Aragón, estoy en octavo semestre. No tengo una sola asignatura favorita, pero sí tres que están al mismo nivel: Materiales y Procesos Industriales aplicados al vidrio, Cerámica, y Arte y Tecnología en el Tiempo.",no
ID16,Pregunta1,"Me siento frustrado porque siento que no tengo las herramientas suficientes para aprender bien. Muchos profesores son estudiantes de maestría y no tienen experiencia docente ni dominio del contenido. Siempre nos dan los mismos temas sencillos, y eso me frustra porque no aprendemos lo que deberíamos.",si
ID16,Pregunta3,"Me sentí muy estresado con el protocolo. Por ejemplo, no sabía cómo analizar una metodología, y eso me enojó bastante porque tuvimos una materia sobre eso, pero no nos enseñaron nada útil. Fue frustrante tener que buscar por mi cuenta algo que se supone ya deberíamos dominar.",si
ID16,Pregunta4,Últimamente he estado pensando mucho en qué hacer con mi vida. Ya terminé el protocolo y estoy cerca de terminar la carrera. Me da pánico no saber a qué empresa aplicar o si podré escalar profesionalmente. También me preocupa no tener bien el inglés o no haber delimitado correctamente el TT. Me siento muy inseguro sobre lo que viene.,si
ID16,Pregunta5,"Lo más satisfactorio que he vivido este mes ha sido encontrarme a mí mismo. He estado reflexionando mucho sobre lo que quiero hacer con mi vida, y me siento muy contento por conocerme mejor y reconectar conmigo mismo.",no
ID16,Pregunta6,"Los salones son mi lugar favorito para estudiar, porque hay menos ruido. La biblioteca no me inspira y siempre hay movimiento. Me concentro mejor en los salones cuando están vacíos y tranquilos.",no
ID16,Pregunta7,"Las semanas antes de vacaciones son horribles. Todos los profesores dejan el trabajo final al último momento, y eso complica muchísimo la entrega y el estudio. Es extremadamente estresante y agotador.",si
ID16,Pregunta9,"Cuando estoy muy estresado, se me cae el cabello, me dan ganas de correr, me duele la cabeza, me da ansiedad y no puedo dormir.",si
ID16,Pregunta12,Mi materia favorita ha sido Modelado Predictivo. El profesor Escalante es excelente. También disfruté mucho Series de Tiempo y Procesos Estocásticos. Estas materias me parecen fascinantes.,no
ID17,Pregunta1,"Hasta ahora, mi trayectoria ha sido una mezcla enriquecedora de retos, aprendizajes y crecimiento personal. Me siento muy agradecido por todo lo que he vivido. A veces ha sido complicado, claro, pero siempre encuentro la motivación para seguir adelante. Me emociona ver cuánto he evolucionado desde el primer día y pensar que lo mejor aún está por venir.",no
ID17,Pregunta2,"Estos días me he sentido con una mezcla de cansancio y satisfacción por jornadas intensas llenas de responsabilidades, pero también motivado. Aunque a veces me siento agotado, recuerdo por qué estoy aquí y eso me da fuerzas para continuar. Saber que hago algo que me apasiona equilibra cualquier dificultad.",no
ID17,Pregunta3,"Algo que me hizo sentir muy bien recientemente fue recibir un comentario positivo de un profesor sobre un trabajo al que le dediqué mucho esfuerzo. Sentí que mi dedicación fue valorada. Por otro lado, algo que me hizo sentir mal fue no obtener la calificación que esperaba en otra materia. Lo tomé como una señal para ajustar mi estrategia, lo cual me motiva a mejorar.",no
ID17,Pregunta4,"Últimamente he estado reflexionando sobre cómo equilibrar mi vida académica y mi bienestar personal. A veces es fácil perderse entre tareas y exámenes, por eso he comenzado a organizar mejor mis tiempos, hacer pausas conscientes y disfrutar más del proceso. Esta reflexión me ha ayudado a estar más presente y valorar cada etapa de mi formación.",no
ID17,Pregunta5,"Lo más difícil de este mes fue mantener el ritmo entre tantas entregas y responsabilidades. Hubo días en los que sentí que el tiempo no alcanzaba. Sin embargo, también fue un mes muy satisfactorio porque logré cumplir mis objetivos. Me sentí orgulloso de no rendirme, de organizarme mejor y de mantener una actitud positiva. Esa sensación de superación es una gran recompensa.",no
ID17,Pregunta6,"La biblioteca de ESCOM es uno de mis lugares favoritos para estudiar, ya que tiene un ambiente tranquilo que me permite concentrarme. También me gusta estudiar con compañeros o descansar en áreas abiertas donde puedo tomar aire fresco. Esos pequeños descansos me recargan de energía.",no
ID17,Pregunta7,"Son semanas intensas, pero trato de afrontarlas con una mentalidad positiva y mucha organización. Hago listas de pendientes, establezco prioridades y avanzo paso a paso. Aunque los días se sientan pesados, recuerdo que estos momentos también forman parte de mi crecimiento. Cuando termino, me doy un pequeño descanso como recompensa.",no
ID17,Pregunta8,"Cuando me siento bajo presión, primero respiro profundo y trato de organizar mis tareas dividiéndolas en partes más pequeñas. A veces hablo con amigos o escucho música para relajarme. Estas pausas me ayudan a recargarme y continuar con más calma.",no
ID17,Pregunta9,"Cuando estoy bajo presión, siento tensión en los hombros y me cuesta concentrarme. Emocionalmente, me siento inquieto con muchas ideas en la cabeza. He aprendido a identificar estos momentos y tomar pausas, moverme un poco, tomar agua o hablar con alguien. Escuchar a mi cuerpo es clave para rendir mejor.",no
